Titre,Notes,Nombre des évaluations,Prix,Rehercher_url
"Seagate Expansion Card pour Xbox Series X|S, 512Go, Plug and Play NVMe SSD Expansion, officiel permis, 3 ans Rescue Services (STJR512400)","4,7 sur 5 étoiles",5 207,"97,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Dogfish Portable Externe SSD 1 to Ngff 2242/2260/2280 Métal Gris USB 3.1 Type-C Mini Respirable Externe Solid State Drive pour Mac/Windows/Android/Linux（Jusqu'à 6 Gbps,avec LED）","4,2 sur 5 étoiles",16,"99,00 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
Verbatim Store 'n' Go Portable SSD - 1 To - Noir - SSD externe - USB 3.0 SSD - SSD externe - pour Windows et Mac OS X - disque portable - USB-C - disque flash externe,"4,6 sur 5 étoiles",11,"84,64 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"AGI ED238 1 to SSD Portable, USB-C USB 3.2 Gen 2 Disque SSD externe NVMe, Vitesses de Lecture allant jusqu'à 1050 Mo/s, Compatible avec PC, Windows, Mac, Linux et Android - Gris Fer",,,"93,92 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
Timetec Disque Dur SSD externe Portable USB 3.2 Gen2 USB-Type C jusqu'à 560 Mo/s en aluminium Ultra-Fin Noir (1TB),"4,5 sur 5 étoiles",1 675,"95,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
VERBATIM DD Externe 1TB USB3.2,"3,5 sur 5 étoiles",8,,https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Netac SSD Externe 1To USB 3.2 GEN 2, Disque Dur Externe jusqu'à 550MB/s (10 Gbps, USB C, Aluminum)","4,4 sur 5 étoiles",2 677,"75,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
Transcend SSD Portable ESD260C 1To USB-C USB 3.1 Gen 2 - TS1TESD260C,"5,0 sur 5 étoiles",3,"119,83 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"Toshiba CANVIO Basics 4To noirCANVIO Basics 4To, Disque dur mécanique, Noir","4,4 sur 5 étoiles",410,"99,99 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
Transcend 512GB External SSD ESD310C USB 10Gbps,"4,5 sur 5 étoiles",438,"79,04 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
"LaCie Mobile Drive, 1TB , External Hard Drive, Moon Silver, USB-C, 2 year Rescue Services (STHG1000400)","4,5 sur 5 étoiles",5 736,"99,97 €",https://www.amazon.fr/s?k=disque+dur+externe+1to&__mk_fr_FR=%C3%85M%C3%85%C5%BD%C3%95%C3%91&ref=nb_sb_noss
